Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Yonkers Trolley Barn,Westchester,03/06/2002,01NR01765,-73.9028965357,40.934353816,POINT (-73.9028965357 40.934353816)
St. Barnabas Episcopal Church,Rensselaer,01/28/2004,03NR05106,-73.6825613857,42.7461131932,POINT (-73.6825613857 42.7461131932)
Mexico Octagon Barn,Oswego,06/20/1991,91NR00027,-76.241486032,43.4523104451,POINT (-76.241486032 43.4523104451)
Young Round Barn,Chenango,09/29/1984,90NR00153,-75.8069969029,42.294297855,POINT (-75.8069969029 42.294297855)
Baker Octagon Barn,Otsego,09/29/1984,90NR02177,-75.0148712224,42.8238529081,POINT (-75.0148712224 42.8238529081)
Middaugh Stone House and Dutch Barn,Ulster,12/29/1994,94NR00758,-74.2291170901,41.8211527656,POINT (-74.2291170901 41.8211527656)
Parker 13-Sided Barn,Schoharie,09/29/1984,90NR02676,-74.6047377123,42.4812989414,POINT (-74.6047377123 42.4812989414)
"Whiteside, Barnett & Co. Agricultural Works",Monroe,02/22/2001,99NR01462,-77.9417089188,43.2164624389,POINT (-77.9417089188 43.2164624389)
Krom Stone House and Dutch Barn,Ulster,08/10/1995,95NR00846,-74.2108240851,41.8175951098,POINT (-74.2108240851 41.8175951098)
Harrington Cobblestone Farmhouse and Barn Complex,Niagara,12/07/2005,05NR05495,-78.5264210473,43.247527347,POINT (-78.5264210473 43.247527347)
Young-Leach Cobblestone Farmhouse and Barn Complex,Yates,05/11/1992,92NR00315,-76.9389555716,42.6380141036,POINT (-76.9389555716 42.6380141036)
Kelly Round Barn,Delaware,09/29/1984,90NR00280,-74.5963399215,42.2001574659,POINT (-74.5963399215 42.2001574659)
McArthur-Martin Hexadecagon Barn,Delaware,09/29/1984,91NR00073,-74.7793448091,42.3714263364,POINT (-74.7793448091 42.3714263364)
Bronck Farm 13-Sided Barn,Greene,09/29/1984,90NR00537,-73.8447597004,42.3462598695,POINT (-73.8447597004 42.3462598695)
"Barney, H.S., Building",Schenectady,07/19/1984,90NR02663,-73.9453326775,42.8152056624,POINT (-73.9453326775 42.8152056624)
Parker Training Academy Dutch Barn,Dutchess,10/03/2007,07NR05732,-73.817538365,42.0183355163,POINT (-73.817538365 42.0183355163)
Barnes-Hiscock House (Corinthian Club),Onondaga,07/30/2010,10NR06087,-76.1366395391,43.0573515756,POINT (-76.1366395391 43.0573515756)
Windfall Dutch Barn,Montgomery,11/22/2000,00NR01676,-74.7443358006,42.8589766946,POINT (-74.7443358006 42.8589766946)
"Hendricks, John, House and Dutch Barn",Dutchess,09/07/1984,90NR00302,-73.9269075609,41.8451334828,POINT (-73.9269075609 41.8451334828)
Schairer Dutch Barn,Albany,,96NR01107,-73.8403889429,42.7512337646,POINT (-73.8403889429 42.7512337646)
Bates Round Barn,Chenango,09/29/1984,90NR00152,-75.8015760454,42.3026068294,POINT (-75.8015760454 42.3026068294)
Barnard Cobblestone House,Livingston,08/31/1989,90NR01383,-77.6163671288,42.9028999115,POINT (-77.6163671288 42.9028999115)
Van Patten Barn Complex,Albany,11/10/1982,90NR01668,-73.9638157283,42.7261408147,POINT (-73.9638157283 42.7261408147)
Suffolk County Almshouse Barn,Suffolk,09/11/1986,90NR01779,-72.9198316149,40.8282008562,POINT (-72.9198316149 40.8282008562)
Vernooy-Bevier Stone House and Barns,Ulster,04/30/2018,16NR00045,-74.3532631682,41.7584763921,POINT (-74.3532631682 41.7584763921)
Gamel Hexadecagon Barn,Erie,09/29/1984,90NR01202,-78.9273003846,42.5774291672,POINT (-78.9273003846 42.5774291672)
Zoller-Frasier Round Barn,Herkimer,09/29/1984,90NR00584,-74.7755414661,42.9726897222,POINT (-74.7755414661 42.9726897222)
William Barnet & Son Shoddy Mill,Rensselaer,10/29/2020,20NR00069,-73.732277321,42.6592902049,POINT (-73.732277321 42.6592902049)
Lainhart Farm Complex and Dutch Barn,Albany,06/08/2001,01NR01786,-74.0316755437,42.7234024266,POINT (-74.0316755437 42.7234024266)
Slate Quarry Road Dutch Barn,Dutchess,07/09/1987,90NR00351,-73.8573601236,41.9106989453,POINT (-73.8573601236 41.9106989453)
Barngalow,Franklin,11/06/1992,90NR02979,-74.1289491409,44.3340070046,POINT (-74.1289491409 44.3340070046)
